generation,region,number,party,candidate,sex,result
6 ,충청남도,1,새누리당,정진석,남,낙
6 ,충청남도,2,새정치민주연합,안희정,남,당
6 ,충청남도,4,무소속,김기문,남,낙
6 ,전라북도,1,새누리당,박철곤,남,낙
6 ,전라북도,2,새정치민주연합,송하진,남,당
6 ,전라북도,3,통합진보당,이광석,남,낙
6 ,전라남도,1,새누리당,이중효,남,낙
6 ,전라남도,2,새정치민주연합,이낙연,남,당
6 ,전라남도,3,통합진보당,이성수,남,낙
6 ,경상북도,1,새누리당,김관용,남,당
6 ,경상북도,2,새정치민주연합,오중기,남,낙
6 ,경상북도,3,통합진보당,윤병태,남,낙
6 ,경상북도,4,정의당,박창호,남,낙
6 ,경상남도,1,새누리당,홍준표,남,당
6 ,경상남도,2,새정치민주연합,김경수,남,낙
6 ,경상남도,3,통합진보당,강병기,남,낙
6 ,제주특별자치도,1,새누리당,원희룡,남,당
6 ,제주특별자치도,2,새정치민주연합,신구범,남,낙
6 ,제주특별자치도,3,통합진보당,고승완,남,낙
6 ,제주특별자치도,4,새정치당,주종근,남,낙
7 ,서울특별시,1,더불어민주당,박원순,남,당
7 ,서울특별시,2,자유한국당,김문수,남,낙
7 ,서울특별시,3,바른미래당,안철수,남,낙
7 ,서울특별시,5,정의당,김종민,남,낙
7 ,서울특별시,6,민중당,김진숙,여,낙
7 ,서울특별시,7,대한애국당,인지연,여,낙
7 ,서울특별시,8,녹색당,신지예,여,낙
7 ,서울특별시,9,우리미래,우인철,남,낙
7 ,서울특별시,10,친박연대,최태현,남,낙
7 ,부산광역시,1,더불어민주당,오거돈,남,당
7 ,부산광역시,2,자유한국당,서병수,남,낙
7 ,부산광역시,3,바른미래당,이성권,남,낙
7 ,부산광역시,5,정의당,박주미,여,낙
7 ,부산광역시,6,무소속,이종혁,남,낙
7 ,대구광역시,1,더불어민주당,임대윤,남,낙
7 ,대구광역시,2,자유한국당,권영진,남,당
7 ,대구광역시,3,바른미래당,김형기,남,낙
7 ,인천광역시,1,더불어민주당,박남춘,남,당
7 ,인천광역시,2,자유한국당,유정복,남,낙
7 ,인천광역시,3,바른미래당,문병호,남,낙
7 ,인천광역시,5,정의당,김응호,남,낙
7 ,광주광역시,1,더불어민주당,이용섭,남,당
7 ,광주광역시,3,바른미래당,전덕영,남,낙
7 ,광주광역시,5,정의당,나경채,남,낙
7 ,광주광역시,6,민중당,윤민호,남,낙
7 ,대전광역시,1,더불어민주당,허태정,남,당
7 ,대전광역시,2,자유한국당,박성효,남,낙
7 ,대전광역시,3,바른미래당,남충희,남,낙
7 ,대전광역시,5,정의당,김윤기,남,낙
7 ,울산광역시,1,더불어민주당,송철호,남,당
7 ,울산광역시,2,자유한국당,김기현,남,낙
7 ,울산광역시,3,바른미래당,이영희,남,낙
7 ,울산광역시,6,민중당,김창현,남,낙
7 ,세종특별자치시,1,더불어민주당,이춘희,남,당
7 ,세종특별자치시,2,자유한국당,송아영,여,낙
7 ,세종특별자치시,3,바른미래당,허철회,남,낙
7 ,경기도,1,더불어민주당,이재명,남,당
7 ,경기도,2,자유한국당,남경필,남,낙
7 ,경기도,3,바른미래당,김영환,남,낙
7 ,경기도,5,정의당,이홍우,남,낙
7 ,경기도,6,민중당,홍성규,남,낙
7 ,강원도,1,더불어민주당,최문순,남,당
7 ,강원도,2,자유한국당,정창수,남,낙
7 ,충청북도,1,더불어민주당,이시종,남,당
7 ,충청북도,2,자유한국당,박경국,남,낙
7 ,충청북도,3,바른미래당,신용한,남,낙
7 ,충청남도,1,더불어민주당,양승조,남,당
7 ,충청남도,2,자유한국당,이인제,남,낙
7 ,충청남도,6,코리아,차국환,남,낙
7 ,전라북도,1,더불어민주당,송하진,남,당
7 ,전라북도,2,자유한국당,신재봉,남,낙
7 ,전라북도,4,민주평화당,임정엽,남,낙
7 ,전라북도,5,정의당,권태홍,남,낙
7 ,전라북도,6,민중당,이광석,남,낙
7 ,전라남도,1,더불어민주당,김영록,남,당
7 ,전라남도,3,바른미래당,박매호,남,낙
7 ,전라남도,4,민주평화당,민영삼,남,낙
7 ,전라남도,5,정의당,노형태,남,낙
7 ,전라남도,6,민중당,이성수,남,낙
7 ,경상북도,1,더불어민주당,오중기,남,낙
7 ,경상북도,2,자유한국당,이철우,남,당
7 ,경상북도,3,바른미래당,권오을,남,낙
7 ,경상북도,5,정의당,박창호,남,낙
7 ,경상남도,1,더불어민주당,김경수,남,당
7 ,경상남도,2,자유한국당,김태호,남,낙
7 ,경상남도,3,바른미래당,김유근,남,낙
7 ,제주특별자치도,1,더불어민주당,문대림,남,낙
7 ,제주특별자치도,2,자유한국당,김방훈,남,낙
7 ,제주특별자치도,3,바른미래당,장성철,남,낙
7 ,제주특별자치도,6,녹색당,고은영,여,낙
7 ,제주특별자치도,7,무소속,원희룡,남,당
